"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 27 13:33:20 IST 2025","Mon Oct 27 13:33:23 IST 2025","3389","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientProfileTests","com.externalAPIs.tests.common.CreateClientProfileTests","createClientProfile","createClientProfile","Ensures that a client profile can be created successfully, including dynamic merchant, location, and organization references."
"passed","Mon Oct 27 13:33:23 IST 2025","Mon Oct 27 13:33:25 IST 2025","2395","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreatePaymentSessionConsumerTests","com.externalAPIs.tests.common.CreatePaymentSessionConsumerTests","createPaymentSessionConsumer","createPaymentSessionConsumer","Validates creation of a payment session consumer and ensures response structure and status validation."
"passed","Mon Oct 27 13:33:31 IST 2025","Mon Oct 27 13:33:35 IST 2025","4798","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateProcessorTests","com.externalAPIs.tests.common.CreateProcessorTests","createProcessor","createProcessor","Validates that a new payment processor can be created and response data is stored for dependent APIs."
"passed","Mon Oct 27 13:33:02 IST 2025","Mon Oct 27 13:33:04 IST 2025","1965","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.auth.Glofox_ClientTokenTests","com.externalAPIs.tests.auth.Glofox_ClientTokenTests","getGlofoxClientToken","getGlofoxClientToken","Ensures Glofox OAuth token retrieval using Base64-encoded client credentials and validates token caching."
"passed","Mon Oct 27 13:33:08 IST 2025","Mon Oct 27 13:33:10 IST 2025","1914","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientTests","com.externalAPIs.tests.common.CreateClientTests","createClient","createClient","Verifies that a new client can be created successfully and all possible HTTP status codes are handled gracefully."
"passed","Mon Oct 27 13:33:04 IST 2025","Mon Oct 27 13:33:06 IST 2025","2004","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.auth.Glofox_SecureClientTokenTests","com.externalAPIs.tests.auth.Glofox_SecureClientTokenTests","getGlofoxSecureClientToken","getGlofoxSecureClientToken","Ensures Glofox Secure Client Token can be retrieved using Base64-encoded credentials for secure payment APIs."
"passed","Mon Oct 27 13:33:00 IST 2025","Mon Oct 27 13:33:02 IST 2025","2448","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.auth.Secure_TokenTests","com.externalAPIs.tests.auth.Secure_TokenTests","getSecureAuthToken","getSecureAuthToken","Ensures secure OAuth token can be fetched successfully with valid Base64-encoded credentials for downstream API authentication."
"passed","Mon Oct 27 13:33:36 IST 2025","Mon Oct 27 13:33:38 IST 2025","2466","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.UpdateMerchantTests","com.externalAPIs.tests.common.UpdateMerchantTests","updateMerchant","updateMerchant","Validates updating merchant information and verifying that updated values persist correctly."
"passed","Mon Oct 27 13:33:16 IST 2025","Mon Oct 27 13:33:18 IST 2025","2078","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateCompanyTests","com.externalAPIs.tests.common.CreateCompanyTests","createCompany","createCompany","Verifies that a company can be created successfully, including validation for all HTTP responses."
"failed","Mon Oct 27 13:33:46 IST 2025","Mon Oct 27 13:33:50 IST 2025","3358","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.Charge.CreateRefundPaymentTests","com.externalAPIs.tests.Charge.CreateRefundPaymentTests","createRefundPayment","createRefundPayment","Ensures refunds are processed successfully by linking them to previous ACH charge transactions."
"passed","Mon Oct 27 13:33:06 IST 2025","Mon Oct 27 13:33:08 IST 2025","2182","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientTests","com.externalAPIs.tests.common.CreateClientTests","createClient","createClient","Verifies that a new client can be created successfully and all possible HTTP status codes are handled gracefully."
