"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 27 15:49:32 IST 2025","Mon Oct 27 15:49:35 IST 2025","2539","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateLocationTests","com.externalAPIs.tests.common.CreateLocationTests","createLocation","createLocation","Verifies that a new location can be created successfully, with full error handling for all HTTP status codes."
"passed","Mon Oct 27 15:49:56 IST 2025","Mon Oct 27 15:49:59 IST 2025","3154","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.UpdateMerchantTests","com.externalAPIs.tests.common.UpdateMerchantTests","updateMerchant","updateMerchant","Validates updating merchant information and verifying that updated values persist correctly."
"passed","Mon Oct 27 15:49:30 IST 2025","Mon Oct 27 15:49:32 IST 2025","2257","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateOrganizationTests","com.externalAPIs.tests.common.CreateOrganizationTests","createOrganization","createOrganization","Validates that an organization can be created successfully with valid input data and handles duplicates gracefully."
"passed","Mon Oct 27 15:49:48 IST 2025","Mon Oct 27 15:49:51 IST 2025","2530","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientBankAccountTests","com.externalAPIs.tests.common.CreateClientBankAccountTests","createClientBankAccount","createClientBankAccount","Ensures a client bank account can be linked to an existing client profile with full HTTP status coverage."
"passed","Mon Oct 27 15:49:16 IST 2025","Mon Oct 27 15:49:20 IST 2025","4059","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.auth.Authorization_TokenTests","com.externalAPIs.tests.auth.Authorization_TokenTests","getAuthToken","getAuthToken","Ensures valid OAuth access token retrieval from the authorization server using Base64-encoded client credentials."
"passed","Mon Oct 27 15:49:23 IST 2025","Mon Oct 27 15:49:24 IST 2025","1923","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.auth.Glofox_ClientTokenTests","com.externalAPIs.tests.auth.Glofox_ClientTokenTests","getGlofoxClientToken","getGlofoxClientToken","Ensures Glofox OAuth token retrieval using Base64-encoded client credentials and validates token caching."
"passed","Mon Oct 27 15:49:37 IST 2025","Mon Oct 27 15:49:39 IST 2025","2060","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateMerchantTests","com.externalAPIs.tests.common.CreateMerchantTests","createMerchant","createMerchant","Verifies merchant creation flow, validates response schema and ensures data persistence for update APIs."
"passed","Mon Oct 27 15:49:51 IST 2025","Mon Oct 27 15:49:56 IST 2025","5130","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateProcessorTests","com.externalAPIs.tests.common.CreateProcessorTests","createProcessor","createProcessor","Validates that a new payment processor can be created and response data is stored for dependent APIs."
"passed","Mon Oct 27 15:49:39 IST 2025","Mon Oct 27 15:49:44 IST 2025","4643","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientProfileTests","com.externalAPIs.tests.common.CreateClientProfileTests","createClientProfile","createClientProfile","Ensures that a client profile can be created successfully, including dynamic merchant, location, and organization references."
"failed","Mon Oct 27 15:50:06 IST 2025","Mon Oct 27 15:50:09 IST 2025","2620","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.Charge.CreateRefundPaymentTests","com.externalAPIs.tests.Charge.CreateRefundPaymentTests","createRefundPayment","createRefundPayment","Ensures refunds are processed successfully by linking them to previous ACH charge transactions."
"passed","Mon Oct 27 15:50:02 IST 2025","Mon Oct 27 15:50:04 IST 2025","2030","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.Charge.CreatePaymentTokenSessionTests","com.externalAPIs.tests.Charge.CreatePaymentTokenSessionTests","createPaymentTokenSession","createPaymentTokenSession","Validates creation of a consumer payment token session using Glofox Client Token and organization context."
